ID,Description
175,"I'm seeking an experienced digital marketer to increase traffic to my Amazon affiliate marketing blog, which primarily features product reviews. Requirements: - Proven track record in driving traffic to affiliate blogs. - Expertise in SEO, especially in areas beyond keyword optimization and backlink building. - Creative and effective social media strategies. - Experience with content marketing and collaboration with influencers. Ideal Skills: - Strong analytical skills to track and measure growth. - Knowledge of the affiliate marketing landscape. - Ability to develop a comprehensive and tailored traffic growth strategy. Your approach should include: - Advanced SEO tactics - Engaging social media campaigns - Collaborations with influencers in the affiliate marketing space Please pr..."
176,"I'm looking for high-quality user-generated content for an awareness reel, with a total work content duration of 10 minutes. Requirements: -Female - Content type: Informative (e.g., interviews, tutorials, product reviews) - Shot on a flagship phone or DSLR - Green screen background (optional) - External microphone usage - Proper lighting Ideal skills and experience: - Experience in shooting professional-grade videos - Ability to create engaging informative content - Knowledge of lighting and sound equipment Please provide samples of previous work."
177,"I'm looking for crypto enthusiasts in Brazil or Portugal for a part-time task. This is ideal for students or career starters. Task: - Record screencasts of the Google app’s news feed - Content must include over 20% crypto news - Provide URLs of crypto news articles from the feed Requirements: - Must live in Brazil or Portugal currently - Must have an Android phone - Must have over 20% crypto news in your Google News feed - Must use the Google app (not a browser) for recording - Clear visibility of content in recordings is required, but high quality is not mandatory Compensation: - $10 for the first task - $10 for each successful referral - $8 for each subsequent task if we work together regularly Skills & Experience: - Basic familiarity with screen recording tools - Inte..."
178,"I'm looking for an experienced video editor to create engaging YouTube Shorts. The content will be educational, focusing on informative summaries. Key requirements: - Edit videos for clarity and engagement - Add captions and relevant graphics - Maintain a casual tone Ideal skills and experience: - Proficiency in video editing software (e.g., Adobe Premiere Pro, Final Cut Pro) - Experience with YouTube Shorts format - Strong understanding of engaging educational content Please provide a portfolio with similar work."
179,"I need a comprehensive social media management and content creation solution. Key Responsibilities: Content Creation - Designing engaging posts (product photos, offers, reels) - Writing captivating captions with relevant hashtags - Creating dynamic product stories & videos Social Media Management - Consistent posting across Instagram, Facebook, YouTube, and Pinterest - Scheduling using tools like Buffer or Later - Replying to messages and comments Growth & Promotion - Running targeted paid ad campaigns - Collaborating with influencers - Audience engagement to boost growth Ideal Skills & Experience - Strong background in social media management - Proficiency in video editing - Creative design skills for posts and reels - Experience with ad campaigns and influencer collabora..."
180,I'm seeking a skilled graphic designer to quickly create marketing materials for my service-based business. Primary tasks include: - Designing logos - Creating flyers - Developing promotional brochures Ideal skills and experience: - Proven graphic design experience - Strong portfolio with classic/traditional designs - Ability to work in a fast-paced environment - Excellent communication skills Please provide a portfolio with your application.
181,"I'm looking for a logo for a polling platform website. The platform allows users to create polls, vote, follow each other, bookmark polls, and comment. Requirements: - Use the provided color codes and font family - Convey excitement as the primary emotion - Incorporate a key element (to be determined) Ideal Skills and Experience: - Strong portfolio in logo design - Ability to convey emotion through design - Experience with color and typography integration Please submit your portfolio with your bids."
182,"I need a professional website for my wholesale business specializing in gum and guggal dhoop. The site will primarily showcase our products and services. Essential features include: - Product Catalog: Comprehensive overview of our offerings, including prices and descriptions. - Contact Form: Easy way for potential clients to reach out. - Customer Testimonials: Building trust and credibility. Ideal skills and experience: - Proven track record in developing corporate showcase websites. - Strong design skills to create an appealing and user-friendly layout. - Experience integrating product catalogs and contact forms. - Ability to incorporate customer testimonials effectively. Looking for freelancers who can deliver a polished, professional site within my budget. Please provide examples of..."
183,"I'm looking for a skilled freelancer to help me find clients for selling consumer data. The data primarily consists of contact information, categorized by geographical location. Key Requirements: - Experience in data sales or marketing - Strong network of potential buyers - Ability to negotiate and close deals - Excellent communication skills Ideal Skills: - Background in sales, especially in data or consumer products - Familiarity with market demand for consumer contact information - Proficiency in using digital platforms for outreach Your role will be crucial in connecting me with the right buyers and ensuring a successful transaction."
184,"I'm seeking a designer to enhance my existing business card design for Moo. Requirements: - Change print color to gold - Increase font size for better readability - Use sans-serif font style - Apply gold to text, logo, and borders/design elements Ideal Skills & Experience: - Experience with Moo business card templates - Strong portfolio in minimalist, corporate, or creative designs - Proficiency in gold color application and font adjustment Looking forward to your creative touch!"
185,"I need a skilled PDF editor with a graphic design background to update and modify educational book content. Key Responsibilities: • Replace or edit existing logos with new branding (provided or to be co-designed). • Modify headers and footers across PDF pages to reflect new book identity. • Ensure the overall design remains clean, professional, and print-ready. • Maintain formatting consistency after edits. • Export updated files in high-resolution, KDP-ready format (PDF). • Handle basic layout tasks if needed (e.g., adjusting margins, fonts, etc.) Ideal skills and experience: • Proficiency in Adobe Illustrator, Adobe Acrobat Pro, or equivalent software. • Strong graphic design skills. • Experience with KDP formatting."
186,"Not able to create data, Adjust on table view and input type. Integrate 1 api for payment only Work with ftp only."
187,I need a PowerPoint presentation based on a research paper I will provide. The presentation should present a detailed analysis of the paper's content. Requirements: - 11-20 slides - Professional and formal design style - Completion within 6 to 8 hours Ideal Skills: - Proficiency in PowerPoint - Strong ability to summarize and analyze research content - Experience in creating professional presentations Please ensure timely delivery.
188,"I'm seeking a skilled graphic designer to create engaging, vibrant flyers for our launch event in Tequila, Jalisco. Key Requirements: - Incorporate event date and time, along with our contact information into the flyer - Embrace a 'fun and vibrant' style throughout the design - Use of illustrations and icons, rather than solely text and graphics, to liven up the flyer Ideal Skills: - Graphic Design - Understanding of 'fun and vibrant' aesthetics - Experience in creating event promotional material. This is a great opportunity to showcase your creativity in a project to generate excitement for our opening."
189,I need a graphic design specialist to create a product catalogue in Greek. Requirements: - New design creation from scratch - Detailed descriptions and specifications are crucial Ideal skills and experience: - Strong graphic design skills - Experience in creating product catalogues - Proficiency in Greek language - Ability to develop a cohesive and appealing design without existing guidelines
190,"I'm looking for a modern-styled weekly menu design, specifically focusing on main courses and desserts. The final product should be delivered in a digital PDF format. Ideal Skills and Experience: - Proficiency in graphic design software (e.g., Adobe Illustrator, InDesign) - Experience in creating modern, visually appealing layouts - Ability to design menus that are easy to read and navigate - Attention to detail and creativity - Prior experience in food menu design is a plus Please include samples of your previous work in your bids."
191,I need a professional to double-check a business document translated from German to Italian. The text is already translated. The text is intended for Italian authorities. Requirements: - Verify accuracy of translation. - Provide self-certification confirmation. - Submit a copy of your translation credentials and your document. Ideal Skills and Experience: - Fluent in German and Italian. - Experience with legal/business documents. - Translation certification is a plus.
192,I'm seeking a skilled business developer specializing in lead generation to boost our affiliate program. The primary focus of our affiliate program is to increase sales. Key Responsibilities: - Identify and engage potential affiliate partners. - Develop and implement lead generation strategies. - Collaborate with affiliates to drive sales. Ideal Skills and Experience: - Proven track record in lead generation. - Experience in developing affiliate programs. - Strong networking and negotiation skills. - Sales-oriented mindset. Your expertise will be crucial in expanding our affiliate network and significantly increasing our sales.
193,"I need a new business website built on cPanel. My old site was erased, but I have the domain ready. Requirements: - Pages: Home, Contact Us, Services - Design: Modern and minimalist Ideal Skills and Experience: - Expertise in cPanel - Strong web design skills with a minimalist approach - Experience in creating business websites Looking for a freelancer who can deliver a professional and sleek website."
194,"I'm looking for a talented musician to create a MIDI song in the pop genre. The song should convey a sad and emotional mood, and include piano and strings instruments. Ideal skills and experience: - Proficiency in pop music composition - Ability to create emotional and evocative melodies - Experience with MIDI programming - Proficient in piano and strings arrangements"
195,"I need a professional to enhance my existing headshot. The work should take an hour or two. Enhancements needed: - Color correction - Skin retouching: blemish removal, teeth whitening, wrinkle reduction - Keep current background Ideal skills and experience: - Proficiency in photo editing software (e.g., Photoshop) - Experience with headshot enhancement - Strong eye for color correction and detail"
196,I need a professional pitch deck to secure investment for my company. Essential Requirements: - Focus on market potential - No existing market research or data Ideal Skills & Experience: - Expertise in creating compelling pitch decks - Strong background in market analysis - Design skills for a professional presentation - Experience in securing investment Please include a portfolio with relevant work.
197,"I need a Nigerian native with a local number to send SMS verification codes. This is a one-time request, and the code needs to be sent to just one number. Ideal Skills: - Must be a Nigerian native - Access to a local Nigerian phone number - Reliable and timely in sending SMS"
198,Setup Ministra stalker and integration the application
199,"I’m looking for someone to create a 2D animation (around 4 minutes) for my school project (12th grade seminar paper). The animation shows two people entering a boxing ring and fighting. The story isn’t very important – I’ll explain the details later – but the animation should be inspired by the style of anime like Hajime no Ippo. However, this is for a school project, so it shouldn’t look professional or polished. The idea is that it looks like it was made by a student who loves anime and can draw decently, but has no experience with animation – so a bit rough, imperfect, maybe with a low frame rate or stiff movement. If you’re interested, feel free to message me! If possible, I’d love to see a few sample frames or sketches to check i..."
200,"I have two OST (Offline Outlook Data) files stored on a remote PC. I need someone to recover all accessible data from these files and convert it into a PST file that can be opened in Microsoft Outlook. You will be given remote access to a Windows machine via RustDesk, where the OST files are already located. You may install recovery/conversion tools on that machine if needed. What I need: Recover emails, contacts, calendar entries, etc. from the OST files. Convert the data into one or more PST files."
201,"I'm looking for a machine learning expert to help with a project. Ideal skills and experience: - Strong background in machine learning and AI - Experience with all types of data: structured, unstructured, and time-series - Proficiency in preferred algorithms: supervised, unsupervised, or reinforcement learning - Ability to translate complex data insights into actionable strategies Please provide your approach and relevant experience."
202,"I'm looking for an expert to resolve an issue in Salesforce where the survey numbering is out of sequence across all surveys. This problem persists despite no recent changes to our Salesforce configuration. Key Requirements: - Diagnose and fix the survey numbering issue - Ensure proper sequence for all existing surveys Ideal Skills and Experience: - Proficiency in Salesforce, especially in survey creation and management - Strong problem-solving skills - Attention to detail to ensure accuracy in numbering"
203,"Project Title: Develop DNB Radiology Q-Bank Search App with Device-Locked Licensing & Subscription Project Overview: I need a standalone mobile (or web) app that lets users search 10 years of DNB Radiology theory questions by keywords, year, paper number, and topic, with: Robust search & filter Device-locked licensing (one-time download per device; no transfer) Subscription/payment integration (unlock full content for ₹1,000) Admin backend for uploading/editing questions You’ll deliver a turnkey solution—fully tested, documented, and ready to run—so I can hand it off without headaches. Key Requirements Search & Filter Keyword search (e.g. “MRI,” “stroke”) Filter by year (2014–2024), paper number (1–4), topic (Neuro..."
204,"I'm looking for an experienced salesperson in the transport industry, specifically focusing on domestic freight services. Your role will be to generate leads, close deals, and expand our customer base. Key Responsibilities: - Identify and target potential clients in need of domestic freight services. - Develop and maintain strong relationships with existing and new customers. - Meet or exceed sales targets and contribute to overall company growth. Ideal Skills and Experience: - Proven sales experience, preferably in the transport or logistics sector. - Strong communication and negotiation skills. - Ability to work independently and manage your own sales pipeline. - Knowledge of domestic freight market trends and customer needs. If you have a track record of successful sales and are..."
205,"I'm seeking a professional SOP writer to craft 5 tailored Statements of Purpose for different universities. Requirements: - Must adhere to specific university prompts and guidelines. - Each SOP should reflect a unique theme. Ideal Skills and Experience: - Proven experience in academic writing. - Strong ability to personalize content based on provided profiles, projects, and goals. - Excellent writing and storytelling skills."
206,"I'm seeking a modern and minimalist logo that I can use for trademarking. The logo will be used across various platforms including my website, social media, and print materials like business cards and brochures. It will also be featured on products and packaging. Requirements: - A modern and minimalist design - Versatile for digital and print use - Trademark-ready I'm open to color suggestions. Ideal Skills and Experience: - Proven logo design expertise - Experience with trademarking requirements - Strong portfolio in modern and minimalist styles - Proficiency in design software (e.g., Adobe Illustrator)"
207,"I need a class and elegant packaging design for mini rice cakes dipped in chocolate. The colors should be different depending on the flavors, but there will be 2 colors only Requirements: - Incorporate product image, brand logo, and nutritional information - Modern and minimalist design approach Ideal Skills and Experience: - Proven experience in food packaging design - Strong portfolio showcasing classic and elegant designs - Proficiency in design software (e.g., Adobe Illustrator, Photoshop) - Attention to detail and ability to follow brand guidelines Please provide samples of previous work and a brief concept idea."
208,I'm looking for an experienced Shopify developer to help finalize the design elements of my store. Pay $100 Key tasks include: - Layout and structure adjustment for better user experience. - Design enhancements to create a more visually appealing storefront. - Image integration for a polished shopping cart appearance. Ideal Skills and Experience: - Proven experience in Shopify theme customization - Strong eye for design and user interface - Familiarity with Shopify's image and layout tools Please provide a portfolio showcasing similar projects. Looking forward to your bids!
209,"- Linkspreed specializes in building custom private social networks for companies. - The company is currently expanding its global team of partners. - Details about the partner conditions can be found at https://partner.linkspreed.com. - Additional context is available in the pitch deck: - Earning Potential: Unlimited, depends directly on sales volume and client value. - Companies pay a monthly license fee per user. - Partners receive a 40% commission on this license fee for 24 months for each successfully onboarded client. - With significant sales to valuable clients, monthly earnings can potentially exceed €10,000. - No sales result in €0 commission earnings. - There is NO upfront commission. - Linkspreed provides partners with an email address, a digital workspace, ..."
210,I need a dedicated marketing and lead generation expert to attract USA clients for our mechanical design services. Key tasks include: - Crafting engaging newsletters for industry professionals - Focusing on email marketing as the primary channel Ideal Skills and Experience: - Proven expertise in email marketing - Strong copywriting skills for professional newsletters - Experience in the mechanical design industry is a plus - Ability to analyze and report on campaign performance Your efforts will directly contribute to expanding our client base and increasing brand awareness in the industry. Looking forward to your proposals!
211,"I need a professional LinkedIn profile tailored for networking with industry leaders in the tech sector. The profile should highlight my skills, experiences, and value to attract top-tier connections. Key Requirements: - Professional headline and summary - Detailed experience and skills sections - Keywords for tech industry optimization - Engaging and network-focused content Ideal Skills & Experience: - Proven LinkedIn profile development - Expertise in tech industry trends - Strong writing and branding skills - Network-building strategies"
212,"I need help with a training question using Arena simulation (must use Arena 16.1 version or less). The focus is on a manufacturing process. To save time my budget $30 or $35. I would need it by Wednesday, 30 April, at 8:00 PM GMT. Thanks in advance! Key requirements: - Expertise in Arena simulation Ideal skills: - Ability to explain concepts clearly"
213,"I need an engaging, informative, and educational YouTube Short about a cat tale using Ai. Requirements: - Use Leonardo AI for images (subscription provided) - Create a video walkthrough tutorial on the editing and production process Ideal skills and experience: - Proficiency in video creation and editing - Experience with Leonardo AI - Strong storytelling and scripting abilities - Ability to create clear, concise video tutorials Please deliver today. Thank you!"
214,I'm looking for a skilled social media marketer to help generate leads on Facebook and Instagram. Key Tasks: - Create engaging promotional posts - Curate and share user-generated content Ideal Skills and Experience: - Proven track record in lead generation - Strong design and copywriting skills - Experience with Facebook and Instagram algorithms - Ability to analyze and report on campaign performance I'm excited to work with someone who can elevate my brand's presence and drive quality leads!
215,"I'm looking for a skilled web developer to create a website for my mechanical design services, primarily focusing on 3D modeling. Key Requirements: - Primary Service: 3D Modeling - Additional Features: - Client Testimonials - Portfolio Gallery - Contact Form - Integration of Live Chat Support Ideal Skills and Experience: - Proficiency in web development - Experience in designing service-oriented websites - Knowledge of integrating live chat support - Ability to create an appealing portfolio gallery and client testimonial section Looking forward to your bids!"
216,"I'm looking for a freelancer to help create a professional business proposal for my customer. The proposal needs to include: - Well-structured content - High-quality product photos - Attached PDF files (documents, spreadsheets, etc.) Ideal skills and experience: - Proficiency in proposal design and writing - Experience with integrating images and files into documents - Attention to detail and layout design Please provide samples of similar work."
217,"NO Placeholder Bids, NO requests for more information or ""I have a query..."" I'm seeking an experienced lead generation specialist to help me gather B2B leads in the UK. The leads will be used for business development and sales outreach. The target is Businesses with a low or poor online presence. Data Requirements: - Generate leads with: - Contact Name - optional - Contact Email - critical -Contact Phone - critical - Company Name - critical - Company Address - optional - Industry focus is general, not limited to a specific sector - High-quality, verified information is crucial Criteria: Businesses with a poor internet profile. Meets one or more of these criteria - no live Website - Listing with (or other business directory) and no website - Has a Website but ..."
218,"I'm seeking an experienced animator to create an engaging explainer video for our innovative medical SaaS platform. The primary goal is to showcase the product benefits to healthcare professionals. Key Requirements: - Animation Skills: 2D/3D animation, motion graphics. - Storytelling: Ability to convey complex ideas simply. - Professional Tone: Innovative, cutting-edge feel. Ideal Experience: - Portfolio of similar healthcare-related videos. - Strong animation software proficiency - Positive client reviews and testimonials. Please include samples of previous work and a brief project timeline."
219,I need a modern and sleek flyer for an upcoming oil and gas conference. The focus of the flyer will be on the speakers and their profiles. Requirements: - Professional corporate look - All promotional assets for Instagram and WhatsApp in required sizes - Copy and sample language will be provided Skills in Canva or Photoshop are preferred.
220,"I'm seeking a skilled designer to create a professional logo and front label for my new cleaning product brand, FreshNest (floor cleaner & white phenyl). Requirements: - Clean, modern logo design - Front label for 1-litre bottles - Product name - Tagline - Fragrance - Volume - Key features Design should reflect a classic style with a cool and calming color palette. I need high-quality, print-ready files. Ideal Skills & Experience: - Proven logo and label design expertise - Strong portfolio with classic design examples - Proficiency in creating print-ready files Please share your portfolio, price, and timeline if you're interested."
221,"I need a talented video editor to create or edit a brand promotion video using provided pictures and clips. Requirements: - Edit existing photos and clips, or create a video from scratch - Maintain a casual and friendly style Ideal Skills and Experience: - Proficiency in video editing software - Experience in brand promotion videos - Creative and able to work with provided materials"
222,"I'm launching a new brand, Asset Integrated Operations, which encompasses three entities: - Asset Container Sales and Storage (shipping container-based business) - Asset Storage Facilities (storage-based business) - Asset Group Industries (tilt tray and transport-based business) I'm looking for a bold and vibrant logo for each brand that can also be integrated into the Asset Integrated Operations logo. Requirements: - Modern and sleek design - Main colors: blood orange and black - Incorporate icons related to: - Containers and storage - Transport and logistics - Growth and integration Ideal Skills and Experience: - Strong portfolio in bold and vibrant logos - Experience with brand integration in logo design - Proficiency in color theory and..."
223,"Hi, I need help fixing a few issues on my WordPress website using Tutor LMS Pro (native payment): Enable Google & Facebook login on Tutor LMS/Website Coupons not working (Using Tutor LMS Native Payment option) Most of the times users can't log in on the first attempt Make Register button mobile-friendly Show logged-in username in header Not able to give Administrator Access to new users (May be some plugins are restricting it) Seems like some plugin has created a users with Administrator Access, need to review and remove it. Basic site security check + cleanup suggestion (This is my first website) WooCommerce can be removed as I am using using Native Payment of Tutor LMS Quick guidance on Mailchimp integration Budget: ₹2,000 – ₹3,000 Only apply if you have Tutor LMS experi..."
224,I'm looking for an expert to craft and manage a Telegram ad campaign. Ideal skills and experience: - Proven experience with Telegram ads - Ability to create engaging content - Targeted audience analysis - Campaign performance tracking Please share your relevant experience and any successful campaigns you’ve managed.
225,"Please scrape this website for category structure only — I do not need any listings or adverts. url; Here’s what I need extracted and structured clearly: Main Category (e.g. Construction Equipment) Subcategory (e.g. Excavators, Loaders) Sub-subcategory / Specific Type (e.g. Crawler Excavators, Wheel Loaders) I need for all categories Example of the structure I’m looking for: Construction Equipment > Excavators > Tracked Excavators Construction Equipment > Excavators > Mini Excavators Construction Equipment > Wheel Loaders Also, please include if available: Make Model Country This will help me structure a similar site. What I need: Inventory Type (e.g. Construction Equipment) Category (e.g. Excavators) Subcategory / Type (e.g. Tracked Excavators..."
226,"I need a Shopify app developer to create a public app on Shopify. Well, the app is already created, but after submitting, I got feedback from them, which is : ""Your app must immediately authenticate using OAuth before any other steps occur. Merchants should not be able to interact with the user interface (UI) before OAuth."" Our project is built on Vue Js 2 and Laravel 9 and I have implemented the oAuth, but something is wrong on the code. So, your job is to check my code, fix it, and successfully approve it on Shopify. Please note that I will create milestones but will not release any money until the app is approved on Shopify. Do you agree with that ??? Do you know Vue Js and Laravel ???"
227,"I need a dedicated data entry specialist for a long-term project. You will be contacting domain owners via whois with the goal of sending a message to all of them. If you have an experience reaching out to WHOIS of domain owners, please bid"
228,I need help integrating three ML models (KNN) into a Flask website I've created. The site is intended to display results from these models. Requirements: - Experience with Flask - Proficient in KNN and ML model deployment - Ability to link ML models to a web interface Your expertise will help me complete this project smoothly.
229,"I'm seeking a creative designer to develop a modern perfume boutique (Middle East fragrances) retail shop Design focused on retail sales. The space should be inviting and innovative, incorporating: - Product display areas: Well-organized, attractive sections to showcase our perfume collection. - Comfortable seating: Cozy spots for customers to relax while exploring our offerings. - Interactive screens: Tech elements for product information, brand stories, and scent profiles. Ideal candidates should have experience in retail space design, a strong understanding of modern aesthetics, and the ability to integrate interactive technology. Please share relevant portfolios and experience."
230,"I need a skilled full stack developer to enhance an existing application. The backend and frontend are already developed for reusability, and I need a developer to create a backend API and pull real-time user activity data on the dashboard UI. Requirements: - Use Java 17+, Spring Boot, and Hibernate for backend development - Use React.js for frontend integration - SQL Server for database management - Utilize Recharts for charts and graphs The dashboard should include: - Charts and graphs - Tables and lists - Notifications and alerts Ideal Skills and Experience: - Proficiency in Java, Spring Boot, Hibernate, and React.js - Experience with SQL Server - Familiarity with Recharts and developing real-time data dashboards - Strong API development skills Please provide examples of similar wor..."
231,"I need a qualified professional to handle annual compliance for my One Person Company (OPC). This includes: - Annual filing of financial statements - GST filing - Appointment of an auditor within the required 15-day window - And Whatever Needed As this is a side venture with minimal transactions, I also require occasional consultation for compliance management. Additionally, I need guidance and assistance with applying for government funding schemes, which involves: - Identifying suitable schemes - Preparing documentation - Application submission Ideal skills and experience: - Expertise in OPC compliance and regulatory requirements - Experience with government funding applications - Strong organizational and communication skills"
232,I'm looking for an experienced circuit designer to create a power management circuit specifically for a lithium-ion battery charging application. Requirements: - Design a battery charging circuit - Power management focus - Handle lithium-ion batteries Ideal Skills and Experience: - Expertise in circuit design - Experience with lithium-ion battery systems - Knowledge of power management techniques Please provide relevant work samples and experience in your bids.
233,"Hello! I've created an ASCII circuit diagram (attached) showing an 8085 memory system. I need someone with digital circuit knowledge to convert this to a proper circuit diagram using circuit design software. Need to include: 8085 processor 74LS138 decoder Logic gates for chip select Memory chips (4×1KB RAM, 1×2KB RAM, 1×4KB RAM, 2×1KB ROM) Please verify all connections are correct - address lines, data bus, chip selects, etc. Might need minor adjustments as ASCII has limitations. $10 USD, needed tonight. Thanks!"
234,"hi all...i want to migrate my shopify store from impulse theme to a free theme like dawn ... it should give me exact current pages and layout .. my store link is """",also i have a code need to use it in my new theme ""copy paste"" .. thank you"
235,I'm looking for an experienced video editor to help polish a 3-minute interview project. Requirements: - B-roll integration of relevant scenes - Casual tone - Instrumental background music Ideal Skills: - Video editing expertise - Creative B-roll selection - Music integration Please provide samples of previous work.
236,I need three T-shirts placed on hand-drawn casual outfits and colorized using Adobe Illustrator by tomorrow morning. Requirements: - Use Adobe Illustrator - Casual outfits - Flat color for T-shirts
237,"I need experienced annotators for a Hindi-English (Hinglish) code-mixed dataset. Tasks include: - Annotating for linguistic features: - Language tagging (hi/en/other) - Named Entity Recognition (NER) - POS tagging - Sentiment labels (optional) - Content type: - Social media-style content - Conversational data - Informal expressions Requirements: - Proficiency in Hindi (Devanagari and Roman scripts) and Indian English - Familiarity with informal and conversational language - Prior experience in NLP annotation tasks is preferred We will provide clear guidelines and examples. Compensation will be per record or per hour, based on expertise and speed."
238,"I need more than 15 AI files converted to PSD. Each PSD must be layered, and I have specific naming conventions for layer organization. Ideal skills and experience: - Proficiency in Adobe Illustrator and Photoshop - Experience with file conversion - Attention to detail for layer organization - Ability to follow specific naming conventions"
239,I'm looking for a talented fine line illustrator to create a abstract illustration themed around a coffee party and music. Ideal Skills and Experience: - Expertise in fine line drawing - Strong understanding of abstract and minimalist art - Ability to conceptualize and execute a coffee party/music theme Please provide a portfolio showcasing relevant work. examples attached below
240,"I'm looking for a traditional-style email signature. It should include the following information: Full name and title Company logo and contact info Social media links and website Certifications: Cyber Essentials, Safe Contractor, ISO9001, Citation Approved The full name and title should be the most prominent element. Ideal skills and experience: - Graphic design expertise - Experience with email signature creation - Ability to create traditional and professional layouts - Attention to detail for including multiple elements and certifications Please provide samples of previous work."
241,"I need a professional and corporate website for my machine manufacturing startup. The site should primarily showcase our products. Key Sections: - Product Catalog: Detailed showcase of our machines. - About Us: Company background and mission. - Contact Us: Inquiry and communication portal. - Clients: Our esteemed clients and partners. - Innovative Products: Highlighting our cutting-edge machinery. Ideal Skills and Experience: - Strong portfolio in corporate website design. - Experience with product catalog layouts. - Proficiency in creating modern, user-friendly interfaces. - Knowledge of SEO best practices for lead generation. Looking forward to your bids!"
242,"I'm seeking a long-term collaborator to create engaging Instagram posts for my juice business. Content Needed: - New product announcements - Promotional offers (e.g., BOGO, discounts, limited-time bundles) - Recipe ideas (juices, smoothies, bowls) Logo attached Additional Content: - Customer testimonials - Nutrition information - Behind-the-scenes videos (by request) Ideal Skills: - Strong graphic design - Experience with Instagram marketing - Creative content generation - Good communication skills Please provide a budget-friendly rate."
243,"We are seeking a freelancer to watch Udemy course videos carefully and create detailed, professional PowerPoint presentations based on the content. The candidate must summarize key concepts, examples, and important visuals clearly and accurately. Excellent English comprehension and presentation design skills are required. Experience with educational content creation is preferred. Timely delivery and attention to detail are crucial for this role"
244,"I'm seeking a creative graphic designer to create unique and eye-catching designs for apparel, specifically t-shirts, banners, signs. MUST HAVE: - Proficiency in graphic design software (Adobe Illustrator, Photoshop, etc.) - Experience in t-shirt, signs, banners design - A strong portfolio showcasing previous designs - Ability to work within $5 dollar budget and meet deadlines 20 images plus a week. Please read pay…$5 dollars each design Please provide samples of your previous work and a brief description of your design education."
245,"I'm looking for a developer to create a horizontal filter box for my e-commerce website built with Breakdance, a WordPress website builder. Simple UI — mostly front-end — quick task for someone experienced Requirements: - Two components: Brand filter and Model filter - Minimalist design - Fully responsive for mobile devices Ideal Skills and Experience: - Experience with Breakdance and WordPress - Strong design skills for minimalist aesthetics - Proficiency in creating responsive web elements Please provide examples of similar work."
246,"I'm seeking an experienced professional to create a compelling pitch deck for investor funding. My business is in the growth/scale-up stage. Key Requirements: - Tailored for attracting investors, particularly angel investors, venture capitalists, or private equity firms. - Highlight our growth achievements and future potential. Ideal Skills and Experience: - Proven experience in creating pitch decks for high-growth companies. - Strong design skills for a professional and engaging layout. - Excellent storytelling ability to communicate our value proposition and growth potential effectively."
247,"I'm looking for a skilled videographer to create a promotional video for our cakes. The primary goal of this video is to sell our delicious cakes, and it will be primarily used on our social media platforms. Requirements: - Experience in shooting and editing promotional videos - Ability to create visually appealing and enticing cake presentations - Knowledge of social media trends and requirements - Creativity in developing engaging content that drives sales Ideal Skills: - Videography and photography - Video editing software proficiency - Social media marketing knowledge - Strong storytelling abilities Please include samples of previous work and any relevant experience in your bids."
248,"I need a quick edit on a small MP4 video. The video shows my computer screen, and I need the time on the screen changed from 7:56 PM to 8:56 PM. Requirements: - Edit time display on screen - Deliver as MP4 - Experience with video editing Ideal Skills: - Video editing software proficiency - Attention to detail - Ability to work with MP4 format"
249,"I'm looking for a skilled photo editor to add special effects to my images. The main task will be adding text and graphics, specifically logos or watermarks. Ideal skills and experience: - Proficiency in photo editing software (e.g., Photoshop, GIMP) - Experience in adding logos and watermarks - Creative with special effects - Attention to detail"
250,"Hire top UI/UX designers to create intuitive, user-friendly digital experiences tailored to your brand."
251,"I need help with data entry for a work-from-home job. The data is currently in digital text files (e.g., Word, PDF) and needs to be entered into plain text files. Requirements: - Experience with data entry - Attention to detail and accuracy - Ability to work independently and meet deadlines Ideal Skills and Experience: - Proficiency in handling digital text files - Fast and efficient typing skills - Prior experience with similar data entry tasks"
252,I'm looking for an advanced Excel userform to manage an employee database efficiently. The userform should handle information - Employee Name - Employee ID - Department - Designation - Date of Joining - Date of Appointment - Contract Expiry - Contact No - Guardian Contact No - Email Address - Marital Status - Guardian Name - Local Address - Permanent Address - Aadhar Card No Key functionalities: - Search employee - Add employee - Edit employee - Update employee - Save employee - Delete employee - Backlog of all employees with type of action & time captured - Generate reports Ideal skills and experience: - Proficiency in Excel and VBA - Experience in creating advanced userforms - Strong database management skills - Ability to generate complex reports Looking ...
253,"Freelance Role: Student Lead Generator (MERN / Java / Python / Cloud Computing Courses) About the Role: We are hiring Freelance Lead Generators to find students who are interested in enrolling for our professional courses in MERN Stack, Java Development, Python Full Stack, and Cloud Computing. Role Responsibilities: Generate leads of students who are genuinely interested in joining any of our courses. Reach out to potential students via WhatsApp, Instagram, Facebook, LinkedIn, Telegram, or personal networks. Share basic course details and collect their information. Ensure that the leads are interested in pursuing MERN, Java, Python, or Cloud Computing courses (no restrictions on age, background, or graduation year). Payment: ₹100 per verified student lead. ..."
254,"Manage and maintain the Google Merchant Center account, including feed updates, error resolutions, and compliance monitoring. Manage and optimize the Client’s Google Ads account, focusing on Shopping campaigns and agreed campaigns. Make sure all the products that are available on the website show in the Google Merchant Center"
255,I need a custom OTF font uploaded to my Shopify site. The font should be applied to both headers and body text. Requirements: - Experience with Shopify theme customization - Familiarity with uploading and applying custom fonts - Proficient in working with OTF font files
