ID,Description,Category_English
251,"نظرة عامة عن المشروع:
نحن بحاجة إلى خبير في منصة Zoho One للمساعدة في ربط وتنظيم الأدوات المختلفة المتوفرة في هذه المنصة الشاملة. يتضمن المشروع إجراء تكامل بين الأنظمة المختلفة داخل Zoho One لضمان سير العمل بشكل سليم وتحقيق أقصى استفادة من الأدوات التي تقدمها Zoho، مثل Zoho CRM، Zoho Books، Zoho Projects، وغيرها.
المتطلبات الرئيسية:
إعداد وتكامل الأدوات المختلفة في Zoho One:
ربط جميع التطبيقات ضمن Zoho One مثل CRM، Books، Projects، Mail، وغيرها.
إعداد وإدارة تدفق البيانات بين هذه الأدوات لتحقيق التنسيق التام بين الفرق المختلفة.
تكامل Zoho مع الأنظمة الخارجية الأخرى التي قد تكون مستخدمة في الشركة.
الهدف من المشروع:
ربط جميع الأنظمة الداخلية مع منصة Zoho One بشكل سلس لتحسين الإنتاجية.
أتمتة العمليات وتحسين سير العمل بين الفرق المختلفة.
تحسين خدمة العملاء من خلال أدوات متكاملة.",Mobile Development
252,"السلام عليكم
ابحث عن مصمم/ة مواقع محترف/ة
لدي متجر للخدمات التعليمية والتصميم الإبداعي ، ارغب في تطوير موقع لتقديم خدماتي بشكل أفضل من حيث التصميم والبرمجة حيث يشمل :
- تصميم واجهة المستخدم والتطوير وفق الهوية البصرية ( يوجد لدي شعار ، والألوان المختارة )
- عدد الصفحات : ( المدونة ، من نحن ، خدماتنا ، معرض الأعمال ، تواصل معانا ، قنوات الدفع ) "" قابل للتعديل ""
- نموذج تواصل طلب خدمة
المتطلبات :
_ وجود نماذج من الأعمال السابقة",Web Development
253,"مطلوب مبرمج لتطوير نظام إدارة مبيعات متكامل (ويب + تطبيق)
نبحث عن مبرمج محترف لتطوير نظام إدارة مبيعات سحابي يعمل عبر الإنترنت، يتميز بالبساطة والسرعة في الاستخدام، ويخدم النشاط التجاري بشكل احترافي. إليك أبرز المواصفات المطلوبة:
الخصائص الأساسية:
واجهة استخدام بسيطة ورسمية مناسبة لجميع المستخدمين، بدون تعقيد.
نظام إدارة فروع متعدد: إمكانية إضافة أكثر من فرع وإدارتها من نفس النظام.
لوحة تحكم متقدمة لإدارة المنتجات، المستخدمين، المبيعات، والمخزون.
نظام صلاحيات للمستخدمين: كل مستخدم لديه صلاحيات مختلفة (مشرف، بائع، مدير فرع...).
العمل في حالة انقطاع الكهرباء أو الإنترنت: النظام يجب أن يدعم تخزين البيانات مؤقتًا محليًا ثم مزامنتها تلقائيًا عند عودة الاتصال.
تطبيق موبايل (Android أو iOS أو الاثنين) لمراقبة الأداء عن بُعد.
الميزات الذكية المطلوبة:
تحليلات وتقارير: عرض المنتجات الأكثر مبيعًا، تحليل المبيعات حسب الفروع أو الفترات الزمنية.
إشعارات لحظية في حالة انخفاض المخزون أو وجود مبيعات عالية.
دعم تعدد المستخدمين والفروع بدون بطء في الأداء.
حماية وأمان عالي للبيانات.
متطلبات إضافية (إن أمكن):
إمكانية العمل أو التطوير على بيئة تدعم الطاقة المنخفضة أو أجهزة بديلة عند انقطاع الكهرباء.
سهولة التوسع لاحقًا بإضافة مميزات مثل نقاط البيع (POS) أو الفوترة الإلكترونية.
يرجى إرسال نماذج أعمال سابقة مشابهة (إن وُجدت)، والمدة الزمنية التقديرية للتنفيذ، والتكلفة المتوقعة.",Web Development
254,"السلام عليكم ، تحياتي لكم جميعاً
فكرة التطبيق هي تمكين المستخدم من معرفة الرحلات المتوفرة بين المدن والاسعار والمواعيد والتواريخ
بالاضافة لامكانية ادخال بيانات المستخدم والحجز عبر التطبيق
تقريباً بدنا بين ال ٤ - ٥ شاشات تقريباً للتطبيق الي رح يظهر للمستخدم
١- شاشة البحث
٢- شاشة النتائج
٣- شاشة تفاصيل الرحلة
٤- شاشة الحجز
٥- شاشة نهائية تؤكد استلام الحجز
بالاضافة للوحة تحكم يكون فيها شخص اساسي الي هو صاحب التطبيق
مع مستخدمين اضافيين الي هم اصحاب شركات الحافلات بحيث توصلهم الحجوزات والتفاصيل بشكل مباشر
امر اضافي مهم
- امكانية تسليم Source code
الامور الي رح سلممها هي :
- تصميم الشاشات ui & ux
- المعلومات الي رح نبني التطبيقات على اساسها ""المدن - الشركات - الرحلات ... ""
رجاءاً ان توضح لي بالعرض ماهي الامور التي سأستلمها في نهاية المشروع
وان كان هناك امور يحتاجها المشروع والتي لم اذكرها انا
وما هي الامور التي ستحتاجها مني كمعلومات
""المدة جداً جداً مهمة وأرجوا ان يكون هنالك عمل مشابه او مطابق لدى حضرتكم""
وشكراً جزيلاً",Mobile Development
255,معايا مشروع اريد معرفة هل في ثغرات واخطاء برمجية التي تؤدي إلى اختراق موقع و وصول إلى قاعدة بيانات و تعديل عليها موقع معمول باك لارافيل و فورنت رياكت,Web Development
256,"محتاج موقع مشابة لموقع خمسات لكن يعمل لمجال الأفراح
يعني يكونو فيه
مقدمي وجبات للأفراح
قهوجيه للأفراح والمناسبات
مغنيين للأفراح والمناسبات
بائعي ورود للأفراح والمناسبات
طبعا الفرق بينه وبين خمسات انه قبل الدفع يحدد العميل موعد يوم الخدمة اللي يحتاجة بكالندر
وطبعا مقدم الخدمة يقدر يحدد ايش هي الأيام اللي متوفر فيها واللي مو متوفر",Web Development
257,"أرغب في تطوير تطبيق احترافي لخدمة نقل الركاب مشابه لتطبيقات مثل (Uber / كريم)، يعمل على نظامي Android و iOS، بالإضافة إلى لوحة تحكم للإدارة (web dashboard).
شرطان مهمان:
أن يكون احتساب المسافة دقيق جدا ولن يقبل أي عرض بدون دقة المسافة ( احتساب المسافة عن طريق GPS)
أن يكون هناك نموذج للتطبيق يعمل الآن على أرض الواقع ( يعني يستخدمه الناس وعليه رحلات)
المطلوب في التطبيق:
تطبيق للركاب:
تسجيل حساب (رقم الهاتف + رمز تحقق)
امكانية التسجيل عن طريق الايميل او رقم الهاتف
تحديد الموقع على الخريطة
طلب رحلة
عرض معلومات السائق وتتبع الرحلة
الدفع (نقدي/أونلاين حسب الخيار)
تقييم السائق
امكانية اضافة رصيد وخصمه من محفظة الراكب
تطبيق للسائق:
تسجيل حساب وتفعيل
استقبال الطلبات
تتبع موقع الراكب
إنهاء الرحلةامكانية اضافة رصيد وخصمه من محفظة السائق
لوحة تحكم (Dashboard):
إدارة المستخدمين والسائقين
عرض الرحلات والحجوزات
امكانية فلترة الرحلات حسب المدة والمسافة والرحلات المكتملة والملغية والتي تعمل الان
تقارير يومية/شهرية حسب المدن
إعدادات التطبيق
كود الخصم
تقنيات مقترحة (لكني منفتح للاقتراحات):
Flutter أو React Native لتطبيقات الموبايل
Laravel أو Node.js للـ backend
Firebase أو خادم مخصص للإشعارات والتسجيل
ان يكون لي نسخة من ملفات السورس كود ويحق لي التصرف بها
يرجى من المهتمين:
تزويدي بعرض السعر والمدة.
مشاركة أعمال سابقة مشابهة.
توضيح مراحل العمل التي سيتم اتباعها.",Web Development
258,"السلام عليكم ورحمه الله وبركاته
ممكن تطوير موقع حجز ادوار عند حلاق
مع dashboard
طبعا عن طريق WordPress",Web Development
259,"تصميم موقع WordPress باللغتين العربية والانجليزية يتضمن:
- بيانات التواصل في ترويسة الموقع
- لمحة عنا
- حلولنا
- شركائنا
- عملائنا
تواصل معنا
مع توفير مدونة للأخبار والمقالات
وصفحتين Landing Page
نحتاج أن يكون الموقع سريع، أنيق ومنظم ومتجاوب مع مختلف الأجهزة والمتصفحات.
نرجو تزويدنا بمشاريعك السابقة المماثلة",Web Development
260,مطلوب كتابة عطاء خريطة GiS يكون تطبيق ويب وموبايل,Web Development
261,"مرحبًا،
أرغب في تطوير تطبيق عقاري مغلق على نظامي iOS وAndroid، مخصص فقط لربط الوسطاء العقاريين داخل مخطط طيبة ومخطط المليساء بمدينة جدة، بإشراف مباشر مني كوسيط مرخص
الفكرة الأساسية للتطبيق:
1.التطبيق مغلق تمامًا، ولا يمكن التسجيل فيه إلا عن طريق يوزر خاص أقوم أنا بتوزيعه يدويًا للوسطاء المعتمدين.
2.الوسطاء يرفعون عروض الأراضي من داخل خريطة المخطط (تفاعلية).
3.الوسيط الآخر الذي عنده زبون يبحث عن قطعة معينة يدخل الطلب داخل التطبيق.
4.جميع العروض والطلبات لا يراها أحد إلا المشرف (أنا)، ويتم التنسيق والتواصل بين الأطراف فقط من خلالي.
5.عملية الإفراغ والتخليص تتم عن طريقي فقط، ويُحفظ السعي داخل المكتب.
⸻
مواصفات التطبيق المطلوبة:
واجهة المستخدم:
•بسيطة، باللغة العربية
•تسجيل دخول فقط برقم مستخدم وكلمة مرور
•لا يسمح بإنشاء حسابات من العامة
خريطة المخطط:
•صورة دقيقة لمخطط طيبة والمليساء يتم تحويلها إلى خريطة تفاعلية
•كل قطعة أرض قابلة للنقر
•يظهر رقم القطعة، ويتمكن الوسيط من تلوينها وتحديد حالتها (معروضة – محجوزة – مباعة)
•عند الضغط على قطعة، تظهر بياناتها فقط للإدارة
لوحة تحكم للإدارة (المشرف):
•عرض كل العروض والطلبات
•ربط بين الوسيط اللي عنده العرض والوسيط اللي عنده الزبون
•صلاحية تفعيل / تعطيل الحسابات
•متابعة حالة كل قطعة أرض
•إرسال تنبيهات ورسائل داخلية
أمان التطبيق:
•الدخول مربوط بجهاز واحد فقط لكل يوزر
•منع تصوير الشاشة أو مشاركة البيانات (إن أمكن)
•واجهة سياسة استخدام + تعهد قبل رفع أي عرض
⸻
ملاحظات مهمة:
•لا يوجد تسجيل علني أو دخول عام
•لا توجد عمليات دفع داخل التطبيق
•لا يتم عرض العقارات للجمهور
•كل العمليات تتم تحت إشرافي كمستخدم رئيسي",Mobile Development
262,تصميم وبرمجة ثلاث صفحات landing page بطريقة احترافية,Software Engineering
263,"نبحث عن شخص يفهم “اللغة” ويبرمج “الذكاء”.
المطلوب:
•تطوير نموذج ذكي يحاكي لهجة سعودية تحفيزية واقعية.
•ربط GPT-3.5 أو GPT-4 بقاعدة بيانات خارجية (Excel / JSON) باستخدام LangChain أو RAG.
•تصميم بوت تجريبي على تيليجرام كمثال تفاعلي.
•العمل ضمن فريق يجمع بين الكتّاب، المطورين، والمحررين.
•توثيق خطوات التطوير وكتابة كود قابل للتوسعة في النسخة الرسمية القادمة للمنصة.
المدة:
45 يوم للمرحلة التجريبية (قابلة للتمديد بعد التمويل).
نصوّر المشروع كأنه “شات جي بي تي سعودي” يخدم البنات والشباب بطريقة واقعية ومحفّزة.",Web Development
264,"السلام عليكم
انتقلت من موقع قديم إلى موقع جديد
واحتاج اعمل بعض التعديلات على الموقع القديم
- إخفاء بعض الروابط والصفحات
- عمل ري دايركت للموقع الجديد لبعض الروابط
اي تعديلات لنفس الهدف وهو اعادة تحويل زوار الموقع القديم إلى الجديد
الموقع بلغة PHP laravel",Web Development
265,مرحبا اريد مبرمج محترف ويفضل يكون معاه نظام سابق وياريت يبعت ضمن المرفقات اذا معاه نظام جاهز CRM استطيع ربطه مع فيسبوك وانستجرام وماسنجر وكذلك واتساب اعمال ايضا ونقطه مهمه اذا تم اختيار المستقل رح يعمل على استخراج الapi الخاص بالواتساب حيث لدي حوالي ثلاثة ارقام وكل رقم مستقل واريدهم يرتبطو مع الCRM وياريت يوضح المستقل شو هي لغه البرمجه ونوع قاعده البيانات الذي معاه لمن لديه القدرة والكفاءة لتنفيذ المشروع يقدم اقل سعر ممكن ولو معاه جاهز يفضل ذلك وايضا يخبرنا اذا هو عمله من الصفر او تم ربطه مع نظام مفتوح المصدر مثل اودوو او غيره وبعد الانتهاء ساعمل تقييم امتياز للمستقل,Data Science
266,مطلوب تطوير تطبيق لجهاز الهاتف يستطيع فريقي تنظيم العمل عليه وترتيب المهام بين بعضهم وايضا ربط العملاء بالفريق حيث يستطيعون رفع المهام عليه,Mobile Development
267,"تطوير ذكاء اصطناعي يستطيع تنظيم لي البيانات المستخرجه بالفعل عندي وابغا يكون الذكاء الاصطناعي دائم عندي . الفكره ان عندي داتا مستخرجه بالفعل عندي على شكل اكسل شيت مثل ما هو موضح تحت , الي ابغاه ذكاء اصطناعي مجرد ما ادخل فيه الملف يطلعه لي مره ثانيه منظم ومرتب .",Data Science
268,"نحن وكالة تسويق رقمي مقرها سلطنة عُمان، ونعمل حالياً باستخدام نظام Odoo Community. نبحث عن مطوّر Odoo محترف لمساعدتنا في:
الترقية من Odoo 15 إلى Odoo 18
إصلاح بعض المشاكل الحالية في النظام
تكامل وتخصيص بعض التطبيقات لتحسين سير العمل",Web Development
269,مطلوب برمجة نموذج اشتراك وتسجيل يتضمن أزرار التسجيل من خلال جوجل ومنصات التواصل الاجتماعي مع بناء قواعد البيانات وخطط اشتراك سنوية وشهرية مع الربط مع أشهر بوابات الدفع الإلكتروني,Data Science
270,"عندي مشروع جاهز وفكرته مميزة، والخدمة مرتبطة بمجال تقني
أنا مجهز كل شي من ناحية الفكرة، والتسويق، والتشغيل… بس اللي أحتاجه شخص تقني يشتغل معي على الجانب البرمجي تصميم موقع",Web Development
271,"احتاج لعمل مشروع لشركه عقارات لسحب البيانات من مواقع
Dubizel
Aqarmap.com
السوق المفتوح
بحيث يقوم بسحب بيانات الاعلانات بناء علي الشروط لعدد الاعلانات
احتاج في البدايه لمواجهه التطبيق متاح عليا ٢ تاب
الأولي هو ل لينك السحب
الثانيه هو لعدد الاعلانات الحد المسموح ليها للمعلن بمعني أدق
# إذا كان التاب التاني مخطوط بها رقم ٥
ف شروط السحب كتالي إذا كان المعلن أعلن علي إذا كان المعلن أعلن عن عدد ٤ اعلانات يقوم البرنامج بسحب البيانات
إذا كان المعلن أعلن عن ٦ اعلانات لا يقوم بساحبو
يقوم البرنامج باستخراج جميع بيانات الصفحات بدون تقطيع أو أخطاء",Web Development
272,"لدي مغسلة سيارات ثابتة ،، و اريد انشاء تطبيق جديد لخدمة وادارة الغسيل المتنقل من تتبع ودفع و حجز",Mobile Development
273,"مرحباً،
أبحث عن مطور محترف لديه خبرة مثبتة في Laravel + Flutter لتخصيص سكربت جاهز (StackFood Super Combo) وتحويله إلى منصة توصيل محلية شاملة تخدم المطاعم، المتاجر، والطرود.
المشروع يستهدف الانطلاق في محافظة حماة – سوريا، مع خطط توسع مستقبلية.
⸻
نموذج العمل:
•الدفع: نقدي فقط حالياً، مع إمكانية التوسّع لاحقاً للدفع الإلكتروني (PayPal، Visa)
•السائقون: موظفون براتب شهري (بعضهم يستخدم دراجاتهم الخاصة)
•الانطلاق: بدون مركز استلام – التوصيل من المطعم/المتجر إلى العميل مباشرة
•أنشطة متعددة: مطاعم – عصائر – ألبان – مكسرات – خدمات توصيل الطرود
⸻
المهام المطلوبة مقسمة حسب كل جهة:
⸻
1. لوحة المشرف (Admin Panel):
•تثبيت وربط النظام على استضافة خاصة (نطاق رئيسي + نطاق فرعي)
•تفعيل اللغة العربية RTL، مع دعم إضافة لغات لاحقاً
•ربط Google Maps API – Firebase – SMS Gateway – إعدادات البريد الإلكتروني SMTP
•إمكانية تفعيل أو تعطيل أي ميزة بسهولة
•إعداد نظام عمولات مرن: نسبة – مبلغ ثابت – حسب المسافة – أو بدون عمولة
•مراقبة الأداء العام – الطلبات – السائقين – المطاعم
•استقبال إشعارات فورية عن: استلام وتسليم الطلب – التأخير – إعادة الإرسال
⸻
2. تطبيق العميل:
•تسجيل عبر رقم الهاتف، أو الدخول كزائر
•دعم البريد الإلكتروني والاسم الكامل (اختياري للتفعيل لاحقاً)
•شريط بحث واضح + فلترة حسب: “المفتوح الآن”، نوع الطعام، التقييم
•تتبع الطلب لحظياً + إشعارات فورية
•تقييم المطعم والسائق بعد كل طلب (نجوم + تعليق)
•نظام نقاط ومكافآت (قابل للتفعيل/التعطيل من لوحة المشرف)
•طلب توصيل طرد خاص (عنوان من – إلى فقط، بدون مطعم)
•سلة موحدة من عدة متاجر، بشرط أن تكون ضمن نفس المنطقة أو على نفس المسار
•خيار استلام تنبيهات على واتساب بدل SMS (اختياري)
•واجهة موحدة تحتوي على تبويبات واضحة (مطاعم – متاجر – توصيلات)
زر “مشاركة التطبيق” عبر السوشيال ميديا
•تسجيل الدخول عبر Google أو Facebook (اختياري
⸻
3. تطبيق السائق:
•قبول الطلبات أو تعيينها تلقائياً من النظام
•زر “استلام الطلب” عند الوصول إلى المطعم، و**“تسليم الطلب”** للعميل
•إشعار تلقائي يُرسل للمشرف عند كل خطوة (استلام – تسليم – تأخير)
•إعادة إرسال الطلب تلقائياً لسائق آخر في حال عدم الاستلام خلال فترة محددة
•حساب عدد الكيلومترات تلقائياً لاحتساب الحوافز أو التكاليف
•عرض المبالغ المستلمة من العميل، والمبالغ الواجب تسليمها للمطعم
•نظام نوبات مؤقتة (مثلاً 3 ساعات مقابل مبلغ محدد)
•نظام Amazon Flex: نشر مهمة توصيل بسعر محدد تُعرض على جميع السائقين القريبين
•تقييم أسبوعي أو شهري لأداء السائق (السرعة، الدقة، التقييمات)
•خيارات تواصل مرنة:
•تواصل مباشر مع العميل
•أو عبر الدعم الداخلي
•أو إيقاف كامل للتواصل (قابلة للتعديل من لوحة المشرف)
⸻
4. تطبيق / لوحة المطعم:
•إدارة الطلبات (قبول – رفض – وقت التحضير)
•إدارة كاملة للأصناف (إضافة – تعديل – حذف – صور)
•عرض المبلغ المستحق بعد خصم النسبة أو المبلغ الثابت
•دعم طرق محاسبة مرنة حسب الاتفاق مع كل مطعم
•إمكانية التفعيل/الإلغاء لكل خيار حسب المطعم
•تقارير يومية وشهرية – دعم RTL – واجهة سهلة وسريعة
•إمكانية استخدام التطبيق مباشرة دون الحاجة إلى كمبيوتر
⸻
ميزات إضافية اختيارية (قابلة للتفعيل من لوحة التحكم):
•تصنيف وتحفيز السائقين حسب الأداء
•دعم منتجات غير غذائية (زهور، منظفات، مشتريات خفيفة)
•إرسال وجبة أو هدية من شخص إلى آخر (مثلاً من مغترب في ألمانيا لأهله في سوريا)
•كوبونات خصم قابلة للإرسال بين المستخدمين
•واجهة دعم فني داخلي (Live Chat) للزبائن والسائقين والمطاعم
•إنشاء عروض مؤقتة للمطاعم أو للسائقين خلال أوقات الذروة
المتطلبات الفنية:
•خبرة مثبتة في StackFood + Laravel + Flutter
•تسليم الكود بالكامل + ملفات التصميم والتنصيب + توثيق بسيط (PDF أو فيديو)
•تسليم عبر Git أو ملف مضغوط منظم
•الالتزام بعدم إعادة استخدام المشروع (NDA)
•دعم فني بعد التسليم لمدة لا تقل عن 14 يومًا
•مرونة في التطوير المستقبلي
⸻
المدة والميزانية:
•مدة التنفيذ المتوقعة: من 3 إلى 5 أسابيع
•الميزانية: بين 300 إلى 600 دولار (قابلة للتفاوض حسب الجودة)
⸻
الرجاء تضمين التالي في عرضك:
•نماذج أعمال مشابهة (أو أي تجربة سابقة مع StackFood أو تطبيقات توصيل)
•الوقت المتوقع لتنفيذ المشروع
•خطة العمل باختصار
•ملاحظاتك الفنية والتقنية على المشروع
•اقتراحك لأي ميزات ناقصة أو حلول إضافية
⸻
ملاحظة مهمة:
نرحب بأي اقتراح تقني أو وظيفي من طرفك لتحسين المشروع، سواء في تجربة المستخدم، الأمان، أو الأداء.
إذا لاحظت أي نقطة يمكن تحسينها أو إضافتها، نرجو مشاركتها معنا في عرضك.
تحديث إضافي: دمج مواقع التواصل الاجتماعي والتسجيل السريع
في تطبيق العميل والموقع:
•عرض روابط حسابات الشركة على:
Facebook – Instagram – WhatsApp – Telegram
•زر “شارك التطبيق مع أصدقائك” عبر وسائل التواصل
•إمكانية إضافة روابط تواصل خاصة بكل مطعم أو محل داخل صفحتهم
•إمكانية التواصل مع الدعم عبر واتساب (اختياري)
في لوحة المشرف:
•إدارة وتحديث روابط التواصل بسهولة من الإعدادات
•رفع شعارات وروابط التواصل لكل مطعم أو شريك
ميزات اختيارية إضافية:
•تسجيل الدخول أو إنشاء حساب باستخدام:
Google أو Facebook (OAuth Login)
•تفعيل/تعطيل خيارات التواصل أو التسجيل السريع من لوحة التحكم حسب الحاجة",Web Development
274,"نبحث عن مطوّر محترف لإنشاء لوحة تحكم (Admin Dashboard) شاملة تساعدنا في إدارة شؤون الموظفين والعمليات المالية، مع واجهة سهلة الاستخدام ومرنة.",Software Engineering
275,"وصف المشروع:
نرغب في تطوير تطبيق أندرويد باسم ""حضورك – Hodorak"" لإدارة الحضور والانصراف وملفات الموظفين، يدعم العمل دون اتصال بالإنترنت، ويحتوي على ميزات ذكية تشمل البصمة، التتبع الجغرافي، إشعارات فورية، وصلاحيات متعددة. التطبيق يدعم اللغتين العربية والإنجليزية.
---
المتطلبات الأساسية:
1. تسجيل الدخول: / Login:
عن طريق البريد الإلكتروني أو رقم الجوال + رمز تحقق OTP (Firebase).
صلاحيات: (إداري – موظف).
2. نظام الحضور والانصراف: / Attendance System:
تسجيل الحضور والانصراف ببصمة الجهاز.
حفظ الموقع الجغرافي (GPS) والتقاط صورة تلقائيًا.
يعمل في حال ضعف الإنترنت أو انعدامه (Offline Mode) مع مزامنة تلقائية عند توفر الشبكة.
3. مغادرة مؤقتة + تتبع: / Temporary Leave + Tracking:
زر ""مغادرة مؤقتة"" عند الخروج من مكان العمل مؤقتًا.
تفعيل تتبع GPS لحظي أثناء المغادرة (Tracking).
إيقاف التتبع عند الضغط على ""رجوع من المغادرة"".
4. تنبيه في حال الخروج من الموقع: / Geo-Fencing Alert:
إذا خرج الموظف من المنطقة الجغرافية المسموح بها أثناء الدوام، يتم إرسال تنبيه تلقائي إلى الإدارة (باستخدام تنبيه Push Notification أو حفظ في سجل خاص).
5. صفحة الموظف: / Employee Profile:
بيانات شاملة (الاسم، الهوية، الجوال، المسمى، القسم، التعيين...).
رفع ملفات الموظف (شهادات، وثائق...).
تُعرض فقط للإدارة.
6. نظام الطلبات: / Request System:
أنواع الطلبات: إجازة، مغادرة، سلفة، مشتريات، عهدة.
تمر بالموافقة أو الرفض من الإدارة.
7. لوحة الإدارة: / Admin Dashboard:
عرض جميع الموظفين، سجل الحضور والانصراف، وتتبع المغادرات المؤقتة.
عرض ملفات الموظفين وتحميلها.
فلترة وفرز حسب التاريخ، الاسم، أو نوع الطلب.
8. تعدد اللغات: / Multi-Language:
التطبيق يدعم العربية والإنجليزية بالكامل، مع إمكانية التبديل داخل الإعدادات.
9. قاعدة البيانات والتخزين المحلي:
Firebase للتخزين السحابي (Firestore أو Realtime DB).
Room أو SQLite للحفظ المحلي والعمل بدون إنترنت.
---
المخرجات المطلوبة:
كود كامل باستخدام Kotlin.
ملف APK تجريبي.
دليل تشغيل وربط مع Firebase.
دعم مبدئي في حال التعديلات أو التثبيت.
---
ملاحظات مهمة:
يفضل مطور سبق له تنفيذ تطبيقات HR أو Tracking.
نرحب بعروض تتضمن (السعر – مدة التنفيذ – خطة التنفيذ).
إرفاق أعمال سابقة يُعتبر ميزة.",Web Development
276,"موقع ""وظفني"" هو منصة مبتكرة تهدف إلى تسهيل عملية البحث عن موظفين للأعمال اليومية والحرفية والفنية بسرعة ودقة. يتيح الموقع للشركات وأصحاب الأعمال نشر الوظائف المتاحة، بينما يمكن للباحثين عن عمل تصفح الوظائف بسهولة والتقديم لها في ثوانٍ معدودة. يوفر الموقع أدوات بحث متقدمة تمكن المستخدمين من تحديد المهارات المطلوبة، الموقع الجغرافي، وتاريخ التوظيف، مما يجعل العثور على الوظيفة المثالية أو الموظف المثالي أمراً سريعاً ومباشراً. كما يضمن ""وظفني"" عملية توظيف آمنة وموثوقة من خلال التحقق من مهارات وقدرات المتقدمين، مما يعزز فعالية التوظيف وجودة القوى العاملة.",Web Development
277,محتاج اعمل ابليكيشن ويب فيو لحجز مواعيد صالون حلاقه رجالي ونسائئ في الصالون وزيارات والدفع من خلاله وارفع الابليكيشن علي جوجل بلاي وابل استور لمدة سنه الميزانيه 100 دولار التنفيد 10 ايام,Web Development
278,"أحتاج إضافة مدونات على متجر سلة حوالي ٥ مدونات
برسل موقع متجر أخر لفهم الفكرة المطلوبة",Web Development
279,"نرغب بإنشاء موقع إلكتروني وتطبيق جوال يعملان بنفس فكرة منصة Turo.com، وهي منصة عالمية لتأجير السيارات بين الأفراد (Peer-to-peer car sharing). نهدف من المشروع إلى توفير منصة رقمية تتيح للمستخدمين تأجير سياراتهم أو استئجار سيارات من الآخرين بكل سهولة، مع نظام حجز ودفع إلكتروني وواجهة استخدام عصرية ومتجاوبة.
مواصفات المشروع بالتفصيل:
1. واجهة المستخدم (User Interface):
تصميم عصري وسهل الاستخدام مستوحى من Turo.
عرض السيارات بصور احترافية + معلومات مفصلة (الموديل، النوع، السعر، الموقع).
فلترة ذكية (حسب السعر، النوع، التقييم، الموقع).
صفحة تسجيل دخول / إنشاء حساب (مستخدم – مالك سيارة).
نظام تقييم وتعليقات بعد كل عملية تأجير.
2. لوحة التحكم (Dashboard):
لوحة تحكم خاصة بالإدارة لإدارة المحتوى، الحسابات، الطلبات.
لوحة تحكم لكل مالك سيارة لإضافة سياراته، تعديل الأسعار، مراجعة الحجوزات.
لوحة تحكم للمستخدم لرؤية حجوزاته السابقة والحالية.
3. نظام الحجز الذكي:
تحديد المدة الزمنية لبدء وانتهاء الحجز.
إمكانية استلام السيارة من الموقع أو توصيلها.
حساب السعر تلقائياً حسب المدة + رسوم إضافية عند الطلب.
إرسال إشعار للمؤجر عند وجود حجز جديد.
4. نظام دفع إلكتروني آمن:
الدفع عبر بطاقات مدى، فيزا، ماستر كارد، Apple Pay.
إمكانية ربط مع بوابات الدفع مثل PayPal أو Stripe.
حفظ سجل الفواتير لكل عملية حجز.
5. نظام العضويات / الولاء:
عضوية عادية، فضية، ذهبية.
كل عضوية تمنح مزايا معينة (تخفيضات، أولويات، عروض حصرية).
ترتبط العضوية بتاريخ التسجيل وعدد الحجوزات.
6. إدارة السيارات:
كل مالك سيارة يقدر يرفع صور سيارته ويحدد موقعها وسعر التأجير يومي/أسبوعي/شهري.
إمكانية تعطيل السيارة مؤقتاً (في حالة السفر أو عدم التوفر).
عرض حالة السيارة (متوفرة / محجوزة).
7. الخرائط وتحديد المواقع:
استخدام خرائط Google API لعرض موقع السيارات بدقة.
تحديد أقرب السيارات حسب موقع المستخدم.
خاصية الملاحة للوصول للسيارة بسهولة.
8. المراجعات والتقييمات:
كل مستخدم يمكنه تقييم السيارة وصاحبها بعد نهاية التأجير.
عرض تقييمات السيارات علناً لرفع الثقة بين المستخدمين.
9. صفحات إضافية مهمة:
من نحن – اتصل بنا – الأسئلة الشائعة – سياسة الخصوصية – الشروط والأحكام.
10. تحسين SEO وسرعة الأداء:
الموقع مجهز بالكامل لمحركات البحث (Meta Tags, Sitemap, Robots.txt).
تحميل سريع ومتجاوب مع جميع الأجهزة.
أرشفة المقالات والمدونة لأهداف تسويقية مستقبلية.
التطبيق (iOS + Android):
نفس وظائف الموقع بتطبيق جوال احترافي.
إشعارات فورية (Push Notifications) بالحجوزات والتحديثات.
تصميم متجاوب وسهل التنقل.
دعم وصيانة:
تدريب على استخدام النظام (فيديو أو دليل PDF).
دعم فني مجاني لمدة 30 يوم بعد التسليم.
إمكانية توسعة المشروع مستقبلاً (إضافة تطبيق – دعم لغات إضافية).",Web Development
