ID,Title,Category_English,category_arabic,Posted,Avg offer,Duration(Days),Number of Offers,Tags,Tags_en,Link
137,إنشاء منصة إلكترونية متكاملة ومتقدمة لطباعة المنتجات حسب الطلب,Software Engineering,هندسة البرمجيات,2025-04-28,320.00 ,23.0,10,"جافا سكريبت, HTML, CSS, PHP, flutter, برمجة مواقع, Back End, Front End, برمجة قواعد البيانات, برمجة","java script, HTML, CSS, PHP, flutter, programing web, Back End, Front End, programing data base, programing",https://mostaql.com/project/1078738-%D8%A5%D9%86%D8%B4%D8%A7%D8%A1-%D9%85%D9%86%D8%B5%D8%A9-%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A%D8%A9-%D9%85%D8%AA%D9%83%D8%A7%D9%85%D9%84%D8%A9-%D9%88%D9%85%D8%AA%D9%82%D8%AF%D9%85%D8%A9-%D9%84%D8%B7%D8%A8%D8%A7%D8%B9%D8%A9-%D8%A7%D9%84%D9%85%D9%86%D8%AA%D8%AC%D8%A7%D8%AA-%D8%AD%D8%B3%D8%A8-%D8%A7%D9%84%D8%B7%D9%84%D8%A8
138,إنشاء تطبيق موبايل,Mobile Development,تطوير التطبيقات,2025-04-30,325.00 ,10.0,20,"برمجة, برمجة التطبيقات, تطوير التطبيقات, واجهة برمجة التطبيقات, تصميم تطبيقات الهواتف الذكية, إنشاء تطبيق, تطوير البرمجيات, هندسة البرمجيات","programing, programing  apps , dev apps ,  programing  apps , design  application mobile, create  application,  application development ,programming engineer",https://mostaql.com/project/1078896-%D8%A5%D9%86%D8%B4%D8%A7%D8%A1-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-%D9%85%D9%88%D8%A8%D8%A7%D9%8A%D9%84
139,إطلاق مشروع على فلاتر Flutter,Web Development,تطوير الويب,2025-04-30,150.00 ,30.0,9,"flutter, Dart, فايربيس, Firebase Cloud Firestore, الحوسبة السحابية, typescript, GitHub, برمجة, برمجة التطبيقات, برمجة iOS, برمجة أندرويد, تطوير الويب","flutter, Dart, , Firebase Cloud Firestore, cloud computing, typescript, GitHub, programing, programing  apps , programing iOS, programing android , devweb",https://mostaql.com/project/1067813-%D8%A5%D8%B7%D9%84%D8%A7%D9%82-%D9%85%D8%B4%D8%B1%D9%88%D8%B9-%D8%B9%D9%84%D9%89-%D9%81%D9%84%D8%A7%D8%AA%D8%B1-flutter
140,تصميم موقع إلكتروني,Web Development,تطوير الويب,2025-04-30,"1,000.00 ",30.0,53,"تصميم موقع إلكتروني, تصميم مواقع, التصميم الإبداعي, تصميم واجهة المستخدم, تصميم تجربة المستخدم, ووردبريس","design web , design web, design , design UI, design UX, wordpress",https://mostaql.com/project/1078898-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%85%D9%88%D9%82%D8%B9-%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A
141,إنشاء موقع ووردبريس WordPress,Data Science,علم البيانات,2025-04-30,75.00 ,7.0,15,"برمجة مواقع, برمجة قواعد البيانات, برمجة, تطوير البرمجيات, برمجة التطبيقات, هندسة البرمجيات","programing web, programing data base, programing,  application development , programing  apps ,programming engineer",https://mostaql.com/project/1078953-%D8%A5%D9%86%D8%B4%D8%A7%D8%A1-%D9%85%D9%88%D9%82%D8%B9-%D9%88%D9%88%D8%B1%D8%AF%D8%A8%D8%B1%D9%8A%D8%B3-wordpress
142,إتصال من إنترنت بهاتف أو جوال بدون توفر إنترنت,Mobile Development,تطوير التطبيقات,2025-04-30,"1,140.00 ",30.0,2,"برمجة, برمجة أندرويد, برمجة التطبيقات, تطوير التطبيقات, واجهة برمجة التطبيقات, إنشاء تطبيق, تطوير البرمجيات, هندسة البرمجيات","programing, programing android , programing  apps , dev apps ,  programing  apps , create  application,  application development ,programming engineer",https://mostaql.com/project/1078861-%D8%A5%D8%AA%D8%B5%D8%A7%D9%84-%D9%85%D9%86-%D8%A5%D9%86%D8%AA%D8%B1%D9%86%D8%AA-%D8%A8%D9%87%D8%A7%D8%AA%D9%81-%D8%A3%D9%88-%D8%AC%D9%88%D8%A7%D9%84-%D8%A8%D8%AF%D9%88%D9%86-%D8%AA%D9%88%D9%81%D8%B1-%D8%A5%D9%86%D8%AA%D8%B1%D9%86%D8%AA
143,إنشاء متجر إلكتروني,Web Development,تطوير الويب,2025-04-28,270.50 ,7.0,16,"إنشاء متجر إلكتروني, تصميم متجر إلكتروني, برمجة, هندسة البرمجيات, تطوير البرمجيات, برمجة مواقع, إنشاء موقع إلكتروني, تطوير الويب","create  online market, design  online market, programing,programming engineer,  application development , programing web, create web , devweb",https://mostaql.com/project/1078718-%D8%A5%D9%86%D8%B4%D8%A7%D8%A1-%D9%85%D8%AA%D8%AC%D8%B1-%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A
144,تعديل ثيم رائد بسلة,Web Development,تطوير الويب,2025-04-30,50.00 ,7.0,7,"سلة, تصميم موقع إلكتروني, تصميم مواقع, برمجة مواقع, تطوير البرمجيات",", design web , design web, programing web,  application development",https://mostaql.com/project/1078821-%D8%AA%D8%B9%D8%AF%D9%8A%D9%84-%D8%AB%D9%8A%D9%85-%D8%B1%D8%A7%D8%A6%D8%AF-%D8%A8%D8%B3%D9%84%D8%A9
145,عمل داش بورد لتقيم الأداء ومتابعة سير العمل kpls,Software Engineering,هندسة البرمجيات,2025-04-30,40.00 ,2.0,40,"تحليل الأعمال, مايكروسوفت إكسل, إدخال بيانات, تحليل البيانات, الإدارة المالية, تصميم داش بورد",",  Excel,  , data analysis,  management , design",https://mostaql.com/project/1078901-%D8%B9%D9%85%D9%84-%D8%AF%D8%A7%D8%B4-%D8%A8%D9%88%D8%B1%D8%AF-%D9%84%D8%AA%D9%82%D9%8A%D9%85-%D8%A7%D9%84%D8%A3%D8%AF%D8%A7%D8%A1-%D9%88%D9%85%D8%AA%D8%A7%D8%A8%D8%B9%D8%A9-%D8%B3%D9%8A%D8%B1-%D8%A7%D9%84%D8%B9%D9%85%D9%84-kpls
146,برمجة تطبيق أولية MVP,Mobile Development,تطوير التطبيقات,2025-04-30,"1,000.00 ",30.0,12,"جافا سكريبت, برمجة أندرويد, إنشاء تطبيق, برمجة مواقع, برمجة, تصميم UI UX, تصميم تطبيقات, التصميم المتجاوب, HTML, تطوير البرمجيات, جافا, C++ Programming, هندسة البرمجيات","java script, programing android , create  application, programing web, programing, design UI UX, design  application, design , HTML,  application development , java, C++ Programming,programming engineer",https://mostaql.com/project/1078939-%D8%A8%D8%B1%D9%85%D8%AC%D8%A9-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-%D8%A3%D9%88%D9%84%D9%8A%D8%A9-mvp
147,إنشاء لوحة تحكم Dashboard على Excel لشركة تطوير واستثمار عقاري,Cyber Security,الأمن السيبراني,2025-04-30,100.00 ,4.0,26,"تصميم داش بورد, برمجة, مايكروسوفت إكسل, مايكروسوفت أوفيس, تصميم تطبيقات, برمجة التطبيقات, تطوير البرمجيات, هندسة البرمجيات","design  , programing,  Excel,  , design  application, programing  apps ,  application development ,programming engineer",https://mostaql.com/project/1078782-%D8%A5%D9%86%D8%B4%D8%A7%D8%A1-%D9%84%D9%88%D8%AD%D8%A9-%D8%AA%D8%AD%D9%83%D9%85-dashboard-%D8%B9%D9%84%D9%89-excel-%D9%84%D8%B4%D8%B1%D9%83%D8%A9-%D8%AA%D8%B7%D9%88%D9%8A%D8%B1-%D9%88%D8%A7%D8%B3%D8%AA%D8%AB%D9%85%D8%A7%D8%B1-%D8%B9%D9%82%D8%A7%D8%B1%D9%8A
148,إنشاء تطبيق طعام,Mobile Development,تطوير التطبيقات,2025-04-30,50.00 ,30.0,5,"واجهة برمجة التطبيقات, تطوير التطبيقات, برمجة iOS, فوتوشوب, برمجة التطبيقات, إنشاء متجر إلكتروني, تصميم تطبيقات, تصميم شعار, تصميم تطبيقات iOS, إنشاء موقع إلكتروني","programing  apps , dev apps , programing iOS, photoshop, programing  apps , create  online market, design  application, design , design  application iOS, create web",https://mostaql.com/project/1078572-%D8%A5%D9%86%D8%B4%D8%A7%D8%A1-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-%D8%B7%D8%B9%D8%A7%D9%85
149,تنفيذ مشروع علىCisco Packet Tracer,Networking,الشبكات,2025-04-30,35.00 ,5.0,15,"إدارة الشبكات, الأمن السيبراني, سيسكو, تطوير البرمجيات, هندسة البرمجيات, برمجة, الشبكات اللاسلكية, إطار سلكي","management ,  , ,  application development ,programming engineer, programing,  ,",https://mostaql.com/project/1078895-%D8%AA%D9%86%D9%81%D9%8A%D8%B0-%D9%85%D8%B4%D8%B1%D9%88%D8%B9-%D8%B9%D9%84%D9%89cisco-packet-tracer
150,تصميم رابط طلب منتجات غذائية (زبدات صحية) مع صور وخيارات توصيل,Web Development,تطوير الويب,2025-04-30,60.00 ,7.0,13,"تصميم نماذج إلكترونية, تصميم UI UX, برمجة, برمجة مواقع, تصميم موقع إلكتروني, إنشاء موقع إلكتروني, تطوير الويب, تصميم مواقع","design  , design UI UX, programing, programing web, design web , create web , devweb, design web",https://mostaql.com/project/1078832-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D8%B1%D8%A7%D8%A8%D8%B7-%D8%B7%D9%84%D8%A8-%D9%85%D9%86%D8%AA%D8%AC%D8%A7%D8%AA-%D8%BA%D8%B0%D8%A7%D8%A6%D9%8A%D8%A9-%D8%B2%D8%A8%D8%AF%D8%A7%D8%AA-%D8%B5%D8%AD%D9%8A%D8%A9-%D9%85%D8%B9-%D8%B5%D9%88%D8%B1-%D9%88%D8%AE%D9%8A%D8%A7%D8%B1%D8%A7%D8%AA-%D8%AA%D9%88%D8%B5%D9%8A%D9%84
151,سورس كود برنامج نقاط بيع C#,Data Science,علم البيانات,2025-04-28,50.00 ,5.0,12,"C# Programming, SQL, برمجة, برمجة مواقع, برمجة التطبيقات, تطوير البرمجيات, هندسة البرمجيات","C# Programming, SQL, programing, programing web, programing  apps ,  application development ,programming engineer",https://mostaql.com/project/1057366-%D8%B3%D9%88%D8%B1%D8%B3-%D9%83%D9%88%D8%AF-%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D8%AC-%D9%86%D9%82%D8%A7%D8%B7-%D8%A8%D9%8A%D8%B9-c
152,عمل مشروع باستخدام webots و SUMO,Software Engineering,هندسة البرمجيات,2025-04-28,175.00 ,2.0,0,"برمجة, تطوير البرمجيات, برمجة قواعد البيانات, برمجة مواقع, برمجة التطبيقات, هندسة البرمجيات, برمجة iOS, flutter","programing,  application development , programing data base, programing web, programing  apps ,programming engineer, programing iOS, flutter",https://mostaql.com/project/1078461-%D8%B9%D9%85%D9%84-%D9%85%D8%B4%D8%B1%D9%88%D8%B9-%D8%A8%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-webots-%D9%88-sumo
153,تطوير موقع ويب مخصص للعقارات,Web Development,تطوير الويب,2025-04-28,250.00 ,30.0,13,"برمجة مواقع, تصميم مواقع, خدمات الويب, تطوير الويب, تطوير الويب الكامل, إنشاء موقع إلكتروني, التطوير العقاري","programing web, design web,  web, devweb, devweb, create web , dev",https://mostaql.com/project/1078502-%D8%AA%D8%B7%D9%88%D9%8A%D8%B1-%D9%85%D9%88%D9%82%D8%B9-%D9%88%D9%8A%D8%A8-%D9%85%D8%AE%D8%B5%D8%B5-%D9%84%D9%84%D8%B9%D9%82%D8%A7%D8%B1%D8%A7%D8%AA
154,تصميم برنامج يحسب تكاليف إعاشة,Data Science,علم البيانات,2025-04-28,600.00 ,5.0,17,"تصميم مواقع, تدقيق حسابات, تحليل البيانات, برمجة قواعد البيانات, برمجة, تطوير البرمجيات, هندسة البرمجيات, برمجة التطبيقات","design web,  , data analysis, programing data base, programing,  application development ,programming engineer, programing  apps",https://mostaql.com/project/1078695-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D8%AC-%D9%8A%D8%AD%D8%B3%D8%A8-%D8%AA%D9%83%D8%A7%D9%84%D9%8A%D9%81-%D8%A5%D8%B9%D8%A7%D8%B4%D8%A9
155,تصميم صفحة هبوط شخصية,Web Development,تطوير الويب,2025-04-28,300.00 ,5.0,77,"إنشاء موقع إلكتروني, برمجة, برمجة مواقع, تطوير الويب, إنشاء صفحة هبوط, تطوير البرمجيات, هندسة البرمجيات, تصميم صفحات الهبوط","create web , programing, programing web, devweb, create drop pages,  application development ,programming engineer, design drop pages",https://mostaql.com/project/1078579-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D8%B5%D9%81%D8%AD%D8%A9-%D9%87%D8%A8%D9%88%D8%B7-%D8%B4%D8%AE%D8%B5%D9%8A%D8%A9
156,برمجة موقع إلكتروني احترافي مع 3 لوحات تحكم (تطوير من الصفر),Web Development,تطوير الويب,2025-04-28,"1,200.00 ",60.0,27,"تصميم موقع إلكتروني, برمجة مواقع, تطوير الويب, تصميم مواقع, خدمات الويب, اختبار المواقع, محسن مواقع الويب من جوجل, Figma","design web , programing web, devweb, design web,  web, testing web,  web web , Figma",https://mostaql.com/project/1078441-%D8%A8%D8%B1%D9%85%D8%AC%D8%A9-%D9%85%D9%88%D9%82%D8%B9-%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A-%D8%A7%D8%AD%D8%AA%D8%B1%D8%A7%D9%81%D9%8A-%D9%85%D8%B9-3-%D9%84%D9%88%D8%AD%D8%A7%D8%AA-%D8%AA%D8%AD%D9%83%D9%85-%D8%AA%D8%B7%D9%88%D9%8A%D8%B1-%D9%85%D9%86-%D8%A7%D9%84%D8%B5%D9%81%D8%B1
157,مطور ألعاب يونتي متخصص في عمل ال Ui و urp,Software Engineering,هندسة البرمجيات,2025-04-28,250.00 ,30.0,3,"برمجة ألعاب الجوال, تطوير الألعاب, تصميم ألعاب, برمجة, تطوير البرمجيات, برمجة قواعد البيانات, برمجة مواقع, هندسة البرمجيات, flutter","programing  , dev, design , programing,  application development , programing data base, programing web,programming engineer, flutter",https://mostaql.com/project/1078428-%D9%85%D8%B7%D9%88%D8%B1-%D8%A3%D9%84%D8%B9%D8%A7%D8%A8-%D9%8A%D9%88%D9%86%D8%AA%D9%8A-%D9%85%D8%AA%D8%AE%D8%B5%D8%B5-%D9%81%D9%8A-%D8%B9%D9%85%D9%84-%D8%A7%D9%84-ui-%D9%88-urp
158,موقع ووردبريس,Web Development,تطوير الويب,2025-04-28,70.00 ,7.0,12,"html5, PHP, إنشاء موقع إلكتروني, ووردبريس, إنشاء موقع ووردبريس, برمجة مواقع, برمجة, تطوير الويب","html5, PHP, create web , wordpress, create web wordpress, programing web, programing, devweb",https://mostaql.com/project/1078118-%D9%85%D9%88%D9%82%D8%B9-%D9%88%D9%88%D8%B1%D8%AF%D8%A8%D8%B1%D9%8A%D8%B3
159,تصميم موقع لتفسير الأحلام,Web Development,تطوير الويب,2025-04-28,250.00 ,10.0,9,"برمجة, تطوير البرمجيات, برمجة قواعد البيانات, هندسة البرمجيات, خدمات الويب, تصميم مواقع, اختبار المواقع, تطوير الويب, برمجة مواقع","programing,  application development , programing data base,programming engineer,  web, design web, testing web, devweb, programing web",https://mostaql.com/project/1078418-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%85%D9%88%D9%82%D8%B9-%D9%84%D8%AA%D9%81%D8%B3%D9%8A%D8%B1-%D8%A7%D9%84%D8%A3%D8%AD%D9%84%D8%A7%D9%85
160,برنامج إدارة مخازن,Software Engineering,هندسة البرمجيات,2025-04-28,100.00 ,5.0,22,"برمجة, برمجة مواقع, إنشاء موقع إلكتروني, أمن وحماية المواقع, بايثون, PHP, CSS, جافا سكريبت, تطوير البرمجيات, برمجة التطبيقات","programing, programing web, create web ,   web, python, PHP, CSS, java script,  application development , programing  apps",https://mostaql.com/project/1078563-%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D8%AC-%D8%A5%D8%AF%D8%A7%D8%B1%D8%A9-%D9%85%D8%AE%D8%A7%D8%B2%D9%86
161,إضافة أسعار الذهب وتحويل العملات وأسعار صرف العملات لموقع على الوردبريس,Web Development,تطوير الويب,2025-04-28,160.00 ,5.0,5,"برمجة مواقع, ووردبريس, تطوير الويب, تصميم مواقع, خدمات الويب, تطوير الويب الكامل, إنشاء موقع ووردبريس, إليمنتور","programing web, wordpress, devweb, design web,  web, devweb, create web wordpress,",https://mostaql.com/project/1078534-%D8%A5%D8%B6%D8%A7%D9%81%D8%A9-%D8%A3%D8%B3%D8%B9%D8%A7%D8%B1-%D8%A7%D9%84%D8%B0%D9%87%D8%A8-%D9%88%D8%AA%D8%AD%D9%88%D9%8A%D9%84-%D8%A7%D9%84%D8%B9%D9%85%D9%84%D8%A7%D8%AA-%D9%88%D8%A3%D8%B3%D8%B9%D8%A7%D8%B1-%D8%B5%D8%B1%D9%81-%D8%A7%D9%84%D8%B9%D9%85%D9%84%D8%A7%D8%AA-%D9%84%D9%85%D9%88%D9%82%D8%B9-%D8%B9%D9%84%D9%89-%D8%A7%D9%84%D9%88%D8%B1%D8%AF%D8%A8%D8%B1%D9%8A%D8%B3
162,إنشاء موقع حجز وبيع إلكتروني متكامل,Web Development,تطوير الويب,2025-04-28,"1,200.00 ",20.0,19,"إنشاء موقع ووردبريس, ووردبريس, ووكومرس, إنشاء موقع إلكتروني, تصميم موقع إلكتروني, PHP, HTML, جافا سكريبت","create web wordpress, wordpress, , create web , design web , PHP, HTML, java script",https://mostaql.com/project/1078646-%D8%A5%D9%86%D8%B4%D8%A7%D8%A1-%D9%85%D9%88%D9%82%D8%B9-%D8%AD%D8%AC%D8%B2-%D9%88%D8%A8%D9%8A%D8%B9-%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A-%D9%85%D8%AA%D9%83%D8%A7%D9%85%D9%84
163,تعديل وتحسين نظام مستشفى على oracle apex,Web Development,تطوير الويب,2025-04-28,60.00 ,2.0,5,"جافا سكريبت, CSS, Oracle, برمجة, هندسة البرمجيات, تطوير البرمجيات, برمجة التطبيقات, تطوير الويب, تطوير التطبيقات","java script, CSS, Oracle, programing,programming engineer,  application development , programing  apps , devweb, dev apps",https://mostaql.com/project/1078615-%D8%AA%D8%B9%D8%AF%D9%8A%D9%84-%D9%88%D8%AA%D8%AD%D8%B3%D9%8A%D9%86-%D9%86%D8%B8%D8%A7%D9%85-%D9%85%D8%B3%D8%AA%D8%B4%D9%81%D9%89-%D8%B9%D9%84%D9%89-oracle-apex
164,صناعة موقع متخصص في حساب الانبعاثات و الثولت الطبيعية و من المصانع النفطية و الغازية,Web Development,تطوير الويب,2025-04-28,250.00 ,1000.0,2,"تصميم موقع إلكتروني, برمجة مواقع, أمن وحماية المواقع, بايثون, PHP, CSS, جافا سكريبت, التعلم الآلي","design web , programing web,   web, python, PHP, CSS, java script,",https://mostaql.com/project/1078333-%D8%B5%D9%86%D8%A7%D8%B9%D8%A9-%D9%85%D9%88%D9%82%D8%B9-%D9%85%D8%AA%D8%AE%D8%B5%D8%B5-%D9%81%D9%8A-%D8%AD%D8%B3%D8%A7%D8%A8-%D8%A7%D9%84%D8%A7%D9%86%D8%A8%D8%B9%D8%A7%D8%AB%D8%A7%D8%AA-%D9%88-%D8%A7%D9%84%D8%AB%D9%88%D9%84%D8%AA-%D8%A7%D9%84%D8%B7%D8%A8%D9%8A%D8%B9%D9%8A%D8%A9-%D9%88-%D9%85%D9%86-%D8%A7%D9%84%D9%85%D8%B5%D8%A7%D9%86%D8%B9-%D8%A7%D9%84%D9%86%D9%81%D8%B7%D9%8A%D8%A9-%D9%88-%D8%A7%D9%84%D8%BA%D8%A7%D8%B2%D9%8A%D8%A9
165,موقع إدارة مشفى أو مدرسة,Web Development,تطوير الويب,2025-04-28,"2,000.00 ",15.0,28,"الفكرة التصميمية, تصميم موقع إلكتروني, البحث والتطوير, إدارة المشاريع, ووردبريس, برمجة أندرويد, برمجة مواقع, تطوير الويب, خدمات الويب","design, design web ,  ,  management , wordpress, programing android , programing web, devweb,  web",https://mostaql.com/project/1078486-%D9%85%D9%88%D9%82%D8%B9-%D8%A5%D8%AF%D8%A7%D8%B1%D8%A9-%D9%85%D8%B4%D9%81%D9%89-%D8%A3%D9%88-%D9%85%D8%AF%D8%B1%D8%B3%D8%A9
166,برمجة موقع سياحي 3 لغات,Web Development,تطوير الويب,2025-04-28,468.00 ,20.0,25,"إنشاء موقع ووردبريس, برمجة مواقع, لارافيل, برمجة, هندسة البرمجيات, تطوير البرمجيات, إنشاء موقع إلكتروني, تطوير الويب","create web wordpress, programing web, laravel, programing,programming engineer,  application development , create web , devweb",https://mostaql.com/project/1078597-%D8%A8%D8%B1%D9%85%D8%AC%D8%A9-%D9%85%D9%88%D9%82%D8%B9-%D8%B3%D9%8A%D8%A7%D8%AD%D9%8A-3-%D9%84%D8%BA%D8%A7%D8%AA
167,تصميم منصة ويب خاصة بنقاط الطلاب,Web Development,تطوير الويب,2025-04-28,250.00 ,20.0,15,"اللغة العربية, تصميم موقع إلكتروني, PHP, برمجة مواقع, تطوير الويب, تصميم مواقع, خدمات الويب, إنشاء موقع إلكتروني",", design web , PHP, programing web, devweb, design web,  web, create web",https://mostaql.com/project/1078491-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%85%D9%86%D8%B5%D8%A9-%D9%88%D9%8A%D8%A8-%D8%AE%D8%A7%D8%B5%D8%A9-%D8%A8%D9%86%D9%82%D8%A7%D8%B7-%D8%A7%D9%84%D8%B7%D9%84%D8%A7%D8%A8
168,إضافة برمجية مع معرفة في Whatsapp API,Software Engineering,هندسة البرمجيات,2025-04-28,400.00 ,45.0,10,"لارافيل, برمجة, Back End, تطوير الويب الكامل, برمجة مواقع, برمجة قواعد البيانات, مساعد افتراضي","laravel, programing, Back End, devweb, programing web, programing data base,",https://mostaql.com/project/1064015-%D8%A5%D8%B6%D8%A7%D9%81%D8%A9-%D8%A8%D8%B1%D9%85%D8%AC%D9%8A%D8%A9-%D9%85%D8%B9-%D9%85%D8%B9%D8%B1%D9%81%D8%A9-%D9%81%D9%8A-whatsapp-api
169,تعديلات على تطبيق محاسبة بلغة لارافيل,Mobile Development,تطوير التطبيقات,2025-04-28,80.00 ,3.0,10,"تطوير البرمجيات, إدارة المواقع, برمجة, برمجة مواقع, بايثون, PHP, جافا سكريبت, HTML, CSS","application development ,  management web, programing, programing web, python, PHP, java script, HTML, CSS",https://mostaql.com/project/1078679-%D8%AA%D8%B9%D8%AF%D9%8A%D9%84%D8%A7%D8%AA-%D8%B9%D9%84%D9%89-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-%D9%85%D8%AD%D8%A7%D8%B3%D8%A8%D8%A9-%D8%A8%D9%84%D8%BA%D8%A9-%D9%84%D8%A7%D8%B1%D8%A7%D9%81%D9%8A%D9%84
170,تصميم موقعنا الإلكتروني باستخدام منصة ووردبريس,Web Development,تطوير الويب,2025-04-28,150.00 ,5.0,16,"إنشاء موقع ووردبريس, كتابة المحتوى, اللغة العربية, ووردبريس, برمجة, برمجة مواقع, إنشاء موقع إلكتروني, تطوير الويب","create web wordpress,  ,  , wordpress, programing, programing web, create web , devweb",https://mostaql.com/project/1078647-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%85%D9%88%D9%82%D8%B9%D9%86%D8%A7-%D8%A7%D9%84%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A-%D8%A8%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%D9%85%D9%86%D8%B5%D8%A9-%D9%88%D9%88%D8%B1%D8%AF%D8%A8%D8%B1%D9%8A%D8%B3
171,برمجة موقع ويب تطبيق بلغة java +spring boot,Mobile Development,تطوير التطبيقات,2025-04-28,95.00 ,30.0,6,"برمجة قواعد البيانات, برمجة التطبيقات, هندسة البرمجيات, واجهة برمجة التطبيقات, إنشاء موقع إلكتروني, برمجة مواقع, تطوير الويب","programing data base, programing  apps ,programming engineer,  programing  apps , create web , programing web, devweb",https://mostaql.com/project/1078696-%D8%A8%D8%B1%D9%85%D8%AC%D8%A9-%D9%85%D9%88%D9%82%D8%B9-%D9%88%D9%8A%D8%A8-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-%D8%A8%D9%84%D8%BA%D8%A9-java-spring-boot
172,موقع إلكتروني ووردبريس لشركة مواد بناء ومواد غذائية,Web Development,تطوير الويب,2025-04-28,400.00 ,15.0,20,"برمجة, هندسة البرمجيات, تطوير البرمجيات, برمجة مواقع, إنشاء موقع إلكتروني, تطوير الويب, إنشاء موقع ووردبريس, ووردبريس","programing,programming engineer,  application development , programing web, create web , devweb, create web wordpress, wordpress",https://mostaql.com/project/1078559-%D9%85%D9%88%D9%82%D8%B9-%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A-%D9%88%D9%88%D8%B1%D8%AF%D8%A8%D8%B1%D9%8A%D8%B3-%D9%84%D8%B4%D8%B1%D9%83%D8%A9-%D9%85%D9%88%D8%A7%D8%AF-%D8%A8%D9%86%D8%A7%D8%A1-%D9%88%D9%85%D9%88%D8%A7%D8%AF-%D8%BA%D8%B0%D8%A7%D8%A6%D9%8A%D8%A9
173,تصميم وإنشاء موقع إلكتروني,Web Development,تطوير الويب,2025-04-28,90.00 ,3.0,13,"إنشاء موقع ووردبريس, تصميم مواقع, تصميم موقع إلكتروني, إنشاء موقع إلكتروني, إنشاء مدونة ووردبريس, ووردبريس, برمجة مواقع, برمجة, تطوير المدونات, إنشاء مدونة","create web wordpress, design web, design web , create web , create  wordpress, wordpress, programing web, programing, dev, create",https://mostaql.com/project/1078488-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%88%D8%A5%D9%86%D8%B4%D8%A7%D8%A1-%D9%85%D9%88%D9%82%D8%B9-%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A
174,تصميم برنامج محاسبي,Software Engineering,هندسة البرمجيات,2025-04-28,"3,500.00 ",10.0,9,"محاسبة مالية, إدارة قواعد البيانات, برمجة, برمجة التطبيقات, برمجة تطبيقات سطح المكتب, تطوير البرمجيات, هندسة البرمجيات",",  data base, programing, programing  apps , programing  application  ,  application development ,programming engineer",https://mostaql.com/project/1078658-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D8%AC-%D9%85%D8%AD%D8%A7%D8%B3%D8%A8%D9%8A
175,مطور لتخصيص سكربت PHP وإضافة ميزات متقدمة,Web Development,تطوير الويب,2025-04-28,220.00 ,5.0,7,"PHP, MySQL, Smarty PHP, HTML, CSS3, جافا سكريبت, jQuery, تصميم UI UX, تطوير الويب الكامل, برمجة التطبيقات, إنشاء موقع إلكتروني","PHP, MySQL, Smarty PHP, HTML, CSS3, java script, jQuery, design UI UX, devweb, programing  apps , create web",https://mostaql.com/project/1078465-%D9%85%D8%B7%D9%88%D8%B1-%D9%84%D8%AA%D8%AE%D8%B5%D9%8A%D8%B5-%D8%B3%D9%83%D8%B1%D8%A8%D8%AA-php-%D9%88%D8%A5%D8%B6%D8%A7%D9%81%D8%A9-%D9%85%D9%8A%D8%B2%D8%A7%D8%AA-%D9%85%D8%AA%D9%82%D8%AF%D9%85%D8%A9
